URL,ページ,コード,納付先,納付金額（法人税）,納付金額（地方法人税）,納付金額（合計）
\\Sv05121a\e\電子ファイル\メッセージボックス\TEST\el\109_有限会社 シラカワ_納付情報登録依頼_20220214 210452.pdf,2ページ,109,西条税務署,"159,500円","16,500円","176,000円"
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\120_田口石油販売 株式会社\120_田口石油販売 株式会社_消費税及び地方消費税の中間申告について_20220201 131143.pdf,2ページ,120
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\122_株式会社 ニッソク広島\122_株式会社 ニッソク広島_内国法人の確定申告(青色)_20220224 165720.pdf,2ページ,122
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\122_株式会社 ニッソク広島\122_株式会社 ニッソク広島_消費税及び地方消費税申告(簡易課税・法人)_20220224 165752.pdf,2ページ,122
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\122_株式会社 ニッソク広島\122_株式会社 ニッソク広島_納付情報登録依頼_20220224 165752.pdf,2ページ,122
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\125_有限会社 上剃建設\125_有限会社 上剃建設_内国法人の確定申告(青色)_20220228 183453.pdf,2ページ,125
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\125_有限会社 上剃建設\125_有限会社 上剃建設_消費税及び地方消費税申告(一般・法人)_20220228 183522.pdf,2ページ,125
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\125_有限会社 上剃建設\125_有限会社 上剃建設_納付情報登録依頼_20220228 183522.pdf,2ページ,125
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\127_株式会社 広島ハウジング\127_株式会社 広島ハウジング_内国法人の確定申告(青色)_20220225 185910.pdf,2ページ,127
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\127_株式会社 広島ハウジング\127_株式会社 広島ハウジング_消費税及び地方消費税申告(一般・法人)_20220225 222326.pdf,2ページ,127
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\127_株式会社 広島ハウジング\127_株式会社 広島ハウジング_納付情報登録依頼_20220225 222326.pdf,2ページ,127
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\131_株式会社 エム・アイ・シー\131_株式会社 エム・アイ・シー_消費税及び地方消費税の中間申告について_20220201 131250.pdf,2ページ,131
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\1511_長野 正也\1511_長野 正也_確定申告等についてのお知らせ_20220208 101620.pdf,2ページ,1511
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\157_有限会社 殿林\157_有限会社 殿林_内国法人の確定申告(青色)_20220228 183823.pdf,2ページ,157
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\157_有限会社 殿林\157_有限会社 殿林_消費税及び地方消費税申告(一般・法人)_20220228 184007.pdf,2ページ,157
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\164_有限会社 共同ネオン電機\164_有限会社 共同ネオン電機_消費税及び地方消費税の中間申告について_20220201 131241.pdf,2ページ,164
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\167_有限会社 ＯＤＡ環境設計事務所\167_有限会社 ＯＤＡ環境設計事務所_消費税及び地方消費税の中間申告について_20220201 131240.pdf,2ページ,167
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\186_株式会社 木船総業\186_株式会社 木船総業_法人税及び地方法人税の確定申告について_20220215 114023.pdf,1ページ,186
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\186_株式会社 木船総業\186_株式会社 木船総業_消費税及び地方消費税の確定申告について_20220215 121646.pdf,1ページ,186
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\186_株式会社 木船総業\186_株式会社 木船総業_消費税及び地方消費税の確定申告について_20220215 121646.pdf,2ページ,186
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\187_株式会社 フレア\187_株式会社 フレア_消費税及び地方消費税の中間申告について_20220201 131135.pdf,2ページ,187
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\189_合同会社 オレンジ\189_合同会社 オレンジ_法人税及び地方法人税の確定申告について_20220215 114033.pdf,1ページ,189
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\198_分田建設 株式会社\198_分田建設 株式会社_消費税及び地方消費税の中間申告について_20220201 131333.pdf,2ページ,198
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\203_有限会社 ＺＥＲＯ\203_有限会社 ＺＥＲＯ_消費税及び地方消費税の中間申告について_20220201 131211.pdf,2ページ,203
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\217_株式会社 ＮＫ興産\217_株式会社 ＮＫ興産_消費税及び地方消費税の中間申告について_20220201 131250.pdf,2ページ,217
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\219_有限会社 アークス\219_有限会社 アークス_法人税及び地方法人税の確定申告について_20220215 113816.pdf,1ページ,219
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\224_純薬 株式会社\224_純薬 株式会社_消費税及び地方消費税の中間申告について_20220201 131250.pdf,2ページ,224
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\226_有限会社 広島四恩社\226_有限会社 広島四恩社_内国法人の確定申告(青色)_20220228 155611.pdf,2ページ,226
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\230_株式会社 ＦＩＯＲＥ\230_株式会社 ＦＩＯＲＥ_内国法人の確定申告(青色)_20220225 171911.pdf,2ページ,230
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\230_株式会社 ＦＩＯＲＥ\230_株式会社 ＦＩＯＲＥ_消費税及び地方消費税申告(一般・法人)_20220225 190708.pdf,2ページ,230
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\230_株式会社 ＦＩＯＲＥ\230_株式会社 ＦＩＯＲＥ_納付情報登録依頼_20220225 190708.pdf,2ページ,230
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\231_株式会社 ＡＬＢＵＭ\231_株式会社 ＡＬＢＵＭ_給与所得・退職所得等の所得税徴収高計算書(一般)_20220226 182144.pdf,2ページ,231
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\236_ＡＫＩＲＡ 株式会社\236_ＡＫＩＲＡ 株式会社_法人税及び地方法人税の確定申告について_20220215 114037.pdf,1ページ,236
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\236_ＡＫＩＲＡ 株式会社\236_ＡＫＩＲＡ 株式会社_消費税及び地方消費税の確定申告について_20220215 121459.pdf,1ページ,236
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\236_ＡＫＩＲＡ 株式会社\236_ＡＫＩＲＡ 株式会社_消費税及び地方消費税の確定申告について_20220215 121459.pdf,2ページ,236
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\239_株式会社ヨシカワ\239_株式会社ヨシカワ_消費税及び地方消費税の中間申告について_20220201 131205.pdf,2ページ,239
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\253_株式会社 営繕本舗\253_株式会社 営繕本舗_消費税及び地方消費税の中間申告について_20220201 131201.pdf,2ページ,253
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\256_ＴＥＣ２２ 株式会社\256_ＴＥＣ２２ 株式会社_消費税及び地方消費税の中間申告について_20220201 131144.pdf,2ページ,256
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\261_有限会社 上野タタミ店\261_有限会社 上野タタミ店_消費税及び地方消費税の中間申告について_20220201 131200.pdf,2ページ,261
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\264_株式会社 向井建工\264_株式会社 向井建工_消費税及び地方消費税の中間申告について_20220201 131319.pdf,2ページ,264
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\269_有限会社 森脇工業\269_有限会社 森脇工業_消費税及び地方消費税の中間申告について_20220201 131222.pdf,2ページ,269
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\286_株式会社 環境開発公社\286_株式会社 環境開発公社_消費税及び地方消費税の中間申告について_20220201 131137.pdf,2ページ,286
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\286_株式会社 環境開発公社\286_株式会社 環境開発公社_納税証明書の交付請求(署名省略分)_20220201 081558.pdf,2ページ,286
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\286_株式会社 環境開発公社\286_株式会社 環境開発公社_納税証明書の交付請求(署名省略分)_20220201 085227.pdf,2ページ,286
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\286_株式会社 環境開発公社\286_株式会社 環境開発公社_給与所得・退職所得等の所得税徴収高計算書(一般)_20220209 092441.pdf,2ページ,286
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\295_シーエムシー 株式会社\295_シーエムシー 株式会社_消費税及び地方消費税の中間申告について_20220201 131137.pdf,2ページ,295
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\298_有限会社 郷原呉服堂\298_有限会社 郷原呉服堂_消費税及び地方消費税申告(簡易課税・法人)_20220224 190414.pdf,2ページ,298
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\298_有限会社 郷原呉服堂\298_有限会社 郷原呉服堂_納付情報登録依頼_20220224 190414.pdf,2ページ,298
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\301_小島紙器工業 株式会社\301_小島紙器工業 株式会社_法人税及び地方法人税の確定申告について_20220215 114147.pdf,1ページ,301
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\301_小島紙器工業 株式会社\301_小島紙器工業 株式会社_消費税及び地方消費税の確定申告について_20220215 121456.pdf,1ページ,301
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\301_小島紙器工業 株式会社\301_小島紙器工業 株式会社_消費税及び地方消費税の確定申告について_20220215 121456.pdf,2ページ,301
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\307_株式会社 きやま\307_株式会社 きやま_給与所得・退職所得等の所得税徴収高計算書(一般)_20220208 172414.pdf,2ページ,307
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\310_有限会社 春葵興産\310_有限会社 春葵興産_消費税及び地方消費税の中間申告について_20220201 131229.pdf,2ページ,310
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\312_有限会社 パル動物病院\312_有限会社 パル動物病院_内国法人の確定申告(青色)_20220228 151519.pdf,2ページ,312
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\312_有限会社 パル動物病院\312_有限会社 パル動物病院_消費税及び地方消費税申告(一般・法人)_20220228 151541.pdf,2ページ,312
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\312_有限会社 パル動物病院\312_有限会社 パル動物病院_納付情報登録依頼_20220228 151541.pdf,2ページ,312
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\326_株式会社 Ｈａｐｐｙ Ｆａｃｔｏｒｙ\326_株式会社 Ｈａｐｐｙ Ｆａｃｔｏｒｙ_消費税及び地方消費税の中間申告について_20220201 131253.pdf,2ページ,326
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\329_矢神興産 株式会社\329_矢神興産 株式会社_内国法人の確定申告(青色)_20220224 162007.pdf,2ページ,329
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\336_株式会社 広島テクニック\336_株式会社 広島テクニック_消費税及び地方消費税の中間申告について_20220201 131214.pdf,2ページ,336
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\338_バングロード 株式会社\338_バングロード 株式会社_消費税及び地方消費税の中間申告について_20220201 131147.pdf,2ページ,338
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\343_株式会社 クローバー\343_株式会社 クローバー_予定申告_20220224 161159.pdf,2ページ,343
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\343_株式会社 クローバー\343_株式会社 クローバー_消費税及び地方消費税の中間申告について_20220201 131112.pdf,2ページ,343
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\343_株式会社 クローバー\343_株式会社 クローバー_消費税及び地方消費税中間申告(法人)_20220224 170607.pdf,2ページ,343
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\343_株式会社 クローバー\343_株式会社 クローバー_納付情報登録依頼_20220224 170607.pdf,2ページ,343
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\361_日本グローバルサービス 株式会社\361_日本グローバルサービス 株式会社_消費税及び地方消費税の中間申告について_20220201 131123.pdf,2ページ,361
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\364_株式会社 アライド\364_株式会社 アライド_消費税及び地方消費税の中間申告について_20220201 131131.pdf,2ページ,364
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\366_有限会社 ベーシック\366_有限会社 ベーシック_消費税及び地方消費税の中間申告について_20220201 131336.pdf,2ページ,366
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\367_株式会社 総和工業\367_株式会社 総和工業_消費税及び地方消費税の中間申告について_20220201 131228.pdf,2ページ,367
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\377_徳広商事 株式会社\377_徳広商事 株式会社_法人税及び地方法人税の確定申告について_20220215 113856.pdf,1ページ,377
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\377_徳広商事 株式会社\377_徳広商事 株式会社_消費税及び地方消費税の確定申告について_20220215 121457.pdf,1ページ,377
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\377_徳広商事 株式会社\377_徳広商事 株式会社_消費税及び地方消費税の確定申告について_20220215 121457.pdf,2ページ,377
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\396_有限会社 脇本商店\396_有限会社 脇本商店_消費税及び地方消費税の中間申告について_20220201 131339.pdf,2ページ,396
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\404_株式会社 大畠工作所\404_株式会社 大畠工作所_内国法人の確定申告(青色)_20220225 165250.pdf,2ページ,404
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\404_株式会社 大畠工作所\404_株式会社 大畠工作所_消費税及び地方消費税申告(一般・法人)_20220225 190533.pdf,2ページ,404
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\404_株式会社 大畠工作所\404_株式会社 大畠工作所_納付情報登録依頼_20220225 190533.pdf,2ページ,404
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\412_有限会社 ＯＵＴ ＨＩＧＨ\412_有限会社 ＯＵＴ ＨＩＧＨ_内国法人の確定申告(青色)_20220228 164427.pdf,2ページ,412
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\412_有限会社 ＯＵＴ ＨＩＧＨ\412_有限会社 ＯＵＴ ＨＩＧＨ_消費税及び地方消費税申告(簡易課税・法人)_20220228 165211.pdf,2ページ,412
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\412_有限会社 ＯＵＴ ＨＩＧＨ\412_有限会社 ＯＵＴ ＨＩＧＨ_納付情報登録依頼_20220228 165211.pdf,2ページ,412
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\420_株式会社 タニテック\420_株式会社 タニテック_内国法人の確定申告(青色)_20220224 161653.pdf,2ページ,420
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\421_株式会社 ＴＡＫＵＳＥＩ\421_株式会社 ＴＡＫＵＳＥＩ_消費税及び地方消費税の中間申告について_20220201 131308.pdf,2ページ,421
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\426_株式会社 信貴\426_株式会社 信貴_内国法人の確定申告(青色)_20220225 185110.pdf,2ページ,426
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\426_株式会社 信貴\426_株式会社 信貴_消費税及び地方消費税申告(一般・法人)_20220225 221529.pdf,2ページ,426
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\426_株式会社 信貴\426_株式会社 信貴_納付情報登録依頼_20220225 221529.pdf,2ページ,426
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\438_メイク・アップリフォーム株式会社\438_メイク・アップリフォーム株式会社_消費税及び地方消費税の中間申告について_20220201 131221.pdf,2ページ,438
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\455_有限会社 パーマックドライセンター\455_有限会社 パーマックドライセンター_消費税及び地方消費税の中間申告について_20220201 131156.pdf,2ページ,455
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\458_第一システム 株式会社\458_第一システム 株式会社_給与所得・退職所得等の所得税徴収高計算書(一般)_20220207 111334.pdf,2ページ,458
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\461_有限会社  タッケン\461_有限会社  タッケン_消費税及び地方消費税の中間申告について_20220201 131309.pdf,2ページ,461
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\463_株式会社 星光\463_株式会社 星光_消費税及び地方消費税の中間申告について_20220201 131250.pdf,2ページ,463
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\464_医療法人社団 松成会\464_医療法人社団 松成会_内国法人の確定申告(青色)_20220228 153545.pdf,2ページ,464
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\464_医療法人社団 松成会\464_医療法人社団 松成会_消費税及び地方消費税申告(簡易課税・法人)_20220228 153606.pdf,2ページ,464
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\464_医療法人社団 松成会\464_医療法人社団 松成会_納付情報登録依頼_20220228 153606.pdf,2ページ,464
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\47_キュートク 株式会社\47_キュートク 株式会社_消費税及び地方消費税の中間申告について_20220201 131203.pdf,2ページ,47
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\47_キュートク 株式会社\47_キュートク 株式会社_給与所得・退職所得等の所得税徴収高計算書(一般)_20220201 134847.pdf,2ページ,47
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\47_キュートク 株式会社\47_キュートク 株式会社_給与所得・退職所得等の所得税徴収高計算書(一般)_20220201 135321.pdf,2ページ,47
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\486_株式会社 フリーラック\486_株式会社 フリーラック_消費税及び地方消費税の中間申告について_20220201 131210.pdf,2ページ,486
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\497_株式会社 福永建設工業\497_株式会社 福永建設工業_消費税及び地方消費税の中間申告について_20220201 131200.pdf,2ページ,497
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\512_有限会社 はら建興\512_有限会社 はら建興_消費税及び地方消費税の中間申告について_20220201 131256.pdf,2ページ,512
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\514_アルファバイオ 株式会社\514_アルファバイオ 株式会社_消費税及び地方消費税の中間申告について_20220201 131207.pdf,2ページ,514
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\514_アルファバイオ 株式会社\514_アルファバイオ 株式会社_消費税及び地方消費税中間申告(法人)_20220205 081155.pdf,2ページ,514
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\517_株式会社 昇和建設\517_株式会社 昇和建設_消費税及び地方消費税の中間申告について_20220201 131307.pdf,2ページ,517
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\520_株式会社 ハーベスト\520_株式会社 ハーベスト_内国法人の確定申告(青色)_20220224 162637.pdf,2ページ,520
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\520_株式会社 ハーベスト\520_株式会社 ハーベスト_消費税及び地方消費税申告(一般・法人)_20220224 172426.pdf,2ページ,520
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\520_株式会社 ハーベスト\520_株式会社 ハーベスト_納付情報登録依頼_20220224 172426.pdf,2ページ,520
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\524_株式会社 久本商店\524_株式会社 久本商店_内国法人の確定申告(青色)_20220224 170851.pdf,2ページ,524
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\524_株式会社 久本商店\524_株式会社 久本商店_消費税及び地方消費税申告(一般・法人)_20220224 170917.pdf,2ページ,524
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\524_株式会社 久本商店\524_株式会社 久本商店_納付情報登録依頼_20220224 170917.pdf,2ページ,524
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\527_株式会社 紅菱住建\527_株式会社 紅菱住建_消費税及び地方消費税の中間申告について_20220201 131321.pdf,2ページ,527
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\529_株式会社 Ｌａｕｇｈ\529_株式会社 Ｌａｕｇｈ_法人税及び地方法人税の確定申告について_20220215 114132.pdf,1ページ,529
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\529_株式会社 Ｌａｕｇｈ\529_株式会社 Ｌａｕｇｈ_消費税及び地方消費税の確定申告について_20220215 121523.pdf,1ページ,529
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\529_株式会社 Ｌａｕｇｈ\529_株式会社 Ｌａｕｇｈ_消費税及び地方消費税の確定申告について_20220215 121523.pdf,2ページ,529
URL,ページ,コード
\\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eTAX\52_株式会社 ヨコロ\52_株式会社 ヨコロ_給与所得・退職所得等の所得税徴収高計算書(一般)_20220228 115524.pdf,2ページ,52
URL,ページ,コード
